gain	0	1	-56.70
gain	1	0	-57.67
gain	0	2	-70.44
gain	2	0	-70.61
gain	0	3	-73.13
gain	3	0	-73.83
gain	0	4	-84.17
gain	4	0	-82.52
gain	0	5	-84.17
gain	5	0	-82.92
gain	0	6	-90.13
gain	6	0	-91.19
gain	0	7	-93.83
gain	7	0	-92.52
gain	0	8	-53.48
gain	8	0	-52.57
gain	0	9	-59.58
gain	9	0	-60.64
gain	0	10	-69.54
gain	10	0	-70.19
gain	0	11	-78.18
gain	11	0	-77.90
gain	0	12	-83.23
gain	12	0	-84.47
gain	0	13	-90.63
gain	13	0	-91.62
gain	0	14	-95.27
gain	14	0	-96.69
gain	0	15	-92.59
gain	15	0	-91.63
gain	0	16	-72.07
gain	16	0	-70.50
gain	0	17	-68.95
gain	17	0	-70.99
gain	0	18	-77.08
gain	18	0	-77.47
gain	0	19	-78.81
gain	19	0	-79.55
gain	0	20	-86.40
gain	20	0	-84.60
gain	0	21	-90.29
gain	21	0	-90.23
gain	0	22	-94.71
gain	22	0	-95.01
gain	0	23	-96.97
gain	23	0	-98.24
gain	0	24	-75.01
gain	24	0	-74.61
gain	0	25	-79.36
gain	25	0	-78.07
gain	0	26	-79.17
gain	26	0	-77.80
gain	0	27	-83.96
gain	27	0	-85.52
gain	0	28	-91.05
gain	28	0	-90.76
gain	0	29	-86.95
gain	29	0	-86.65
gain	0	30	-103.46
gain	30	0	-103.06
gain	0	31	-97.52
gain	31	0	-98.47
gain	0	32	-84.99
gain	32	0	-84.41
gain	0	33	-85.72
gain	33	0	-85.18
gain	0	34	-89.65
gain	34	0	-88.61
gain	0	35	-90.04
gain	35	0	-91.00
gain	0	36	-95.56
gain	36	0	-95.99
gain	0	37	-88.32
gain	37	0	-87.35
gain	0	38	-99.07
gain	38	0	-99.05
gain	0	39	-100.52
gain	39	0	-99.94
gain	0	40	-85.12
gain	40	0	-85.18
gain	0	41	-88.84
gain	41	0	-89.51
gain	0	42	-92.75
gain	42	0	-93.23
gain	0	43	-94.49
gain	43	0	-95.85
gain	0	44	-94.20
gain	44	0	-94.13
gain	0	45	-94.22
gain	45	0	-93.81
gain	0	46	-104.02
gain	46	0	-104.52
gain	0	47	-98.66
gain	47	0	-99.67
gain	0	48	-85.54
gain	48	0	-86.19
gain	0	49	-92.79
gain	49	0	-95.12
gain	0	50	-92.86
gain	50	0	-92.07
gain	0	51	-90.51
gain	51	0	-89.53
gain	0	52	-95.64
gain	52	0	-96.97
gain	0	53	-95.26
gain	53	0	-93.00
gain	0	54	-94.69
gain	54	0	-94.11
gain	0	55	-103.69
gain	55	0	-103.77
gain	0	56	-102.58
gain	56	0	-103.21
gain	0	57	-96.84
gain	57	0	-97.34
gain	0	58	-100.10
gain	58	0	-99.27
gain	0	59	-99.66
gain	59	0	-100.39
gain	0	60	-96.44
gain	60	0	-96.12
gain	0	61	-103.09
gain	61	0	-102.83
gain	0	62	-101.18
gain	62	0	-100.25
gain	0	63	-101.87
gain	63	0	-100.29
gain	1	2	-64.53
gain	2	1	-63.74
gain	1	3	-78.42
gain	3	1	-78.15
gain	1	4	-75.75
gain	4	1	-73.12
gain	1	5	-80.52
gain	5	1	-78.31
gain	1	6	-85.02
gain	6	1	-85.11
gain	1	7	-86.67
gain	7	1	-84.39
gain	1	8	-65.19
gain	8	1	-63.31
gain	1	9	-56.78
gain	9	1	-56.87
gain	1	10	-63.34
gain	10	1	-63.02
gain	1	11	-77.75
gain	11	1	-76.50
gain	1	12	-76.67
gain	12	1	-76.94
gain	1	13	-85.49
gain	13	1	-85.51
gain	1	14	-90.27
gain	14	1	-90.72
gain	1	15	-96.10
gain	15	1	-94.17
gain	1	16	-71.52
gain	16	1	-68.97
gain	1	17	-71.95
gain	17	1	-73.02
gain	1	18	-73.16
gain	18	1	-72.59
gain	1	19	-80.25
gain	19	1	-80.02
gain	1	20	-80.90
gain	20	1	-78.12
gain	1	21	-90.34
gain	21	1	-89.31
gain	1	22	-92.24
gain	22	1	-91.56
gain	1	23	-98.86
gain	23	1	-99.16
gain	1	24	-79.10
gain	24	1	-77.72
gain	1	25	-81.44
gain	25	1	-79.17
gain	1	26	-82.89
gain	26	1	-80.55
gain	1	27	-72.72
gain	27	1	-73.30
gain	1	28	-89.83
gain	28	1	-88.57
gain	1	29	-85.33
gain	29	1	-84.06
gain	1	30	-91.87
gain	30	1	-90.50
gain	1	31	-92.74
gain	31	1	-92.71
gain	1	32	-83.52
gain	32	1	-81.98
gain	1	33	-87.11
gain	33	1	-85.60
gain	1	34	-88.19
gain	34	1	-86.18
gain	1	35	-89.87
gain	35	1	-89.86
gain	1	36	-85.92
gain	36	1	-85.39
gain	1	37	-95.13
gain	37	1	-93.19
gain	1	38	-95.57
gain	38	1	-94.58
gain	1	39	-94.17
gain	39	1	-92.63
gain	1	40	-87.88
gain	40	1	-86.98
gain	1	41	-87.33
gain	41	1	-87.03
gain	1	42	-84.59
gain	42	1	-84.10
gain	1	43	-83.75
gain	43	1	-84.14
gain	1	44	-93.21
gain	44	1	-92.17
gain	1	45	-98.56
gain	45	1	-97.18
gain	1	46	-100.80
gain	46	1	-100.33
gain	1	47	-98.11
gain	47	1	-98.15
gain	1	48	-92.28
gain	48	1	-91.96
gain	1	49	-95.54
gain	49	1	-96.91
gain	1	50	-97.35
gain	50	1	-95.58
gain	1	51	-92.98
gain	51	1	-91.03
gain	1	52	-95.12
gain	52	1	-95.48
gain	1	53	-94.74
gain	53	1	-91.50
gain	1	54	-103.56
gain	54	1	-102.01
gain	1	55	-100.92
gain	55	1	-100.03
gain	1	56	-93.02
gain	56	1	-92.69
gain	1	57	-98.34
gain	57	1	-97.87
gain	1	58	-93.26
gain	58	1	-91.46
gain	1	59	-98.28
